match_id,event_id,year,map_index,map,team1,team1_score,team2,team2_score,winner
378673,2097,2024,1,Lotus,EDward Gaming,13,FUT Esports,9,EDward Gaming
378673,2097,2024,2,Bind,EDward Gaming,13,FUT Esports,10,EDward Gaming
378824,2097,2024,1,Icebox,G2 Esports,14,LEVIATÁN,16,LEVIATÁN
378824,2097,2024,2,Abyss,G2 Esports,5,LEVIATÁN,13,LEVIATÁN
378663,2097,2024,1,Abyss,FunPlus Phoenix,12,Team Heretics,14,Team Heretics
378663,2097,2024,2,Bind,FunPlus Phoenix,13,Team Heretics,9,FunPlus Phoenix
378663,2097,2024,3,Lotus,FunPlus Phoenix,13,Team Heretics,15,Team Heretics
378833,2097,2024,1,Abyss,Team Heretics,5,KIWOOM DRX,13,KIWOOM DRX
378833,2097,2024,2,Sunset,Team Heretics,13,KIWOOM DRX,5,Team Heretics
378833,2097,2024,3,Icebox,Team Heretics,13,KIWOOM DRX,10,Team Heretics
378656,2097,2024,1,Bind,FNATIC,13,Bilibili Gaming,9,FNATIC
378656,2097,2024,2,Lotus,FNATIC,13,Bilibili Gaming,4,FNATIC
378826,2097,2024,1,Haven,Sentinels,13,EDward Gaming,9,Sentinels
378826,2097,2024,2,Lotus,Sentinels,9,EDward Gaming,13,EDward Gaming
378826,2097,2024,3,Sunset,Sentinels,6,EDward Gaming,13,EDward Gaming
378822,2097,2024,1,Sunset,KIWOOM DRX,13,Sentinels,15,Sentinels
378822,2097,2024,2,Haven,KIWOOM DRX,8,Sentinels,13,Sentinels
378666,2097,2024,1,Lotus,Gen.G,9,Sentinels,13,Sentinels
378666,2097,2024,2,Icebox,Gen.G,6,Sentinels,13,Sentinels
378669,2097,2024,1,Ascent,Team Vitality,13,Trace Esports,15,Trace Esports
378669,2097,2024,2,Sunset,Team Vitality,13,Trace Esports,7,Team Vitality
378669,2097,2024,3,Bind,Team Vitality,7,Trace Esports,13,Trace Esports
378834,2097,2024,1,Sunset,Sentinels,13,FNATIC,11,Sentinels
378834,2097,2024,2,Bind,Sentinels,9,FNATIC,13,FNATIC
378834,2097,2024,3,Lotus,Sentinels,13,FNATIC,6,Sentinels
378671,2097,2024,1,Lotus,TALON,6,Team Vitality,13,Team Vitality
378671,2097,2024,2,Sunset,TALON,8,Team Vitality,13,Team Vitality
378676,2097,2024,1,Sunset,FUT Esports,11,Paper Rex,13,Paper Rex
378676,2097,2024,2,Bind,FUT Esports,6,Paper Rex,13,Paper Rex
378664,2097,2024,1,Abyss,Gen.G,13,Team Heretics,11,Gen.G
378664,2097,2024,2,Lotus,Gen.G,11,Team Heretics,13,Team Heretics
378664,2097,2024,3,Bind,Gen.G,10,Team Heretics,13,Team Heretics
378670,2097,2024,1,Bind,LEVIATÁN,10,Trace Esports,13,Trace Esports
378670,2097,2024,2,Sunset,LEVIATÁN,13,Trace Esports,9,LEVIATÁN
378670,2097,2024,3,Ascent,LEVIATÁN,5,Trace Esports,13,Trace Esports
378658,2097,2024,1,Abyss,FNATIC,11,KIWOOM DRX,13,KIWOOM DRX
378658,2097,2024,2,Lotus,FNATIC,6,KIWOOM DRX,13,KIWOOM DRX
378659,2097,2024,1,Lotus,Bilibili Gaming,9,KRÜ Esports,13,KRÜ Esports
378659,2097,2024,2,Icebox,Bilibili Gaming,4,KRÜ Esports,13,KRÜ Esports
378827,2097,2024,1,Icebox,LEVIATÁN,15,Team Heretics,13,LEVIATÁN
378827,2097,2024,2,Lotus,LEVIATÁN,13,Team Heretics,10,LEVIATÁN
378835,2097,2024,1,Haven,Team Heretics,8,Sentinels,13,Sentinels
378835,2097,2024,2,Icebox,Team Heretics,13,Sentinels,9,Team Heretics
378835,2097,2024,3,Abyss,Team Heretics,13,Sentinels,7,Team Heretics
378832,2097,2024,1,Haven,G2 Esports,3,FNATIC,13,FNATIC
378832,2097,2024,2,Bind,G2 Esports,11,FNATIC,13,FNATIC
378823,2097,2024,1,Bind,Trace Esports,7,EDward Gaming,13,EDward Gaming
378823,2097,2024,2,Sunset,Trace Esports,10,EDward Gaming,13,EDward Gaming
378662,2097,2024,1,Haven,Gen.G,13,Sentinels,8,Gen.G
378662,2097,2024,2,Ascent,Gen.G,13,Sentinels,7,Gen.G
378657,2097,2024,1,Haven,KIWOOM DRX,2,KRÜ Esports,13,KRÜ Esports
378657,2097,2024,2,Abyss,KIWOOM DRX,13,KRÜ Esports,6,KIWOOM DRX
378657,2097,2024,3,Bind,KIWOOM DRX,13,KRÜ Esports,6,KIWOOM DRX
378828,2097,2024,1,Icebox,EDward Gaming,14,LEVIATÁN,16,LEVIATÁN
378828,2097,2024,2,Lotus,EDward Gaming,13,LEVIATÁN,4,EDward Gaming
378828,2097,2024,3,Abyss,EDward Gaming,13,LEVIATÁN,11,EDward Gaming
378672,2097,2024,1,Icebox,LEVIATÁN,14,Team Vitality,12,LEVIATÁN
378672,2097,2024,2,Sunset,LEVIATÁN,13,Team Vitality,4,LEVIATÁN
378829,2097,2024,1,Haven,EDward Gaming,6,Team Heretics,13,Team Heretics
378829,2097,2024,2,Sunset,EDward Gaming,13,Team Heretics,4,EDward Gaming
378829,2097,2024,3,Lotus,EDward Gaming,13,Team Heretics,9,EDward Gaming
378829,2097,2024,4,Bind,EDward Gaming,11,Team Heretics,13,Team Heretics
378829,2097,2024,5,Abyss,EDward Gaming,13,Team Heretics,9,EDward Gaming
378831,2097,2024,1,Lotus,KIWOOM DRX,13,Trace Esports,3,KIWOOM DRX
378831,2097,2024,2,Abyss,KIWOOM DRX,13,Trace Esports,5,KIWOOM DRX
378675,2097,2024,1,Icebox,EDward Gaming,13,G2 Esports,8,EDward Gaming
378675,2097,2024,2,Haven,EDward Gaming,11,G2 Esports,13,G2 Esports
378675,2097,2024,3,Bind,EDward Gaming,11,G2 Esports,13,G2 Esports
449013,2281,2025,1,Bind,EDward Gaming,4,T1,13,T1
449013,2281,2025,2,Haven,EDward Gaming,10,T1,13,T1
449013,2281,2025,3,Fracture,EDward Gaming,14,T1,12,EDward Gaming
449013,2281,2025,4,Split,EDward Gaming,5,T1,13,T1
449008,2281,2025,1,Split,EDward Gaming,13,T1,7,EDward Gaming
449008,2281,2025,2,Bind,EDward Gaming,6,T1,13,T1
449008,2281,2025,3,Pearl,EDward Gaming,13,T1,11,EDward Gaming
448600,2281,2025,1,Lotus,KIWOOM DRX,13,Sentinels,3,KIWOOM DRX
448600,2281,2025,2,Haven,KIWOOM DRX,13,Sentinels,10,KIWOOM DRX
449000,2281,2025,1,Bind,KIWOOM DRX,8,Team Vitality,13,Team Vitality
449000,2281,2025,2,Abyss,KIWOOM DRX,13,Team Vitality,11,KIWOOM DRX
449000,2281,2025,3,Split,KIWOOM DRX,11,Team Vitality,13,Team Vitality
448597,2281,2025,1,Lotus,G2 Esports,13,Trace Esports,8,G2 Esports
448597,2281,2025,2,Abyss,G2 Esports,13,Trace Esports,3,G2 Esports
449004,2281,2025,1,Fracture,T1,13,KIWOOM DRX,11,T1
449004,2281,2025,2,Pearl,T1,13,KIWOOM DRX,4,T1
448599,2281,2025,1,Fracture,Team Vitality,13,T1,10,Team Vitality
448599,2281,2025,2,Bind,Team Vitality,13,T1,9,Team Vitality
449009,2281,2025,1,Bind,Team Vitality,13,G2 Esports,15,G2 Esports
449009,2281,2025,2,Lotus,Team Vitality,9,G2 Esports,13,G2 Esports
449011,2281,2025,1,Lotus,G2 Esports,13,T1,5,G2 Esports
449011,2281,2025,2,Haven,G2 Esports,9,T1,13,T1
449011,2281,2025,3,Abyss,G2 Esports,13,T1,11,G2 Esports
449011,2281,2025,4,Split,G2 Esports,13,T1,15,T1
449011,2281,2025,5,Pearl,G2 Esports,14,T1,16,T1
449005,2281,2025,1,Haven,G2 Esports,13,Team Liquid,5,G2 Esports
449005,2281,2025,2,Lotus,G2 Esports,13,Team Liquid,7,G2 Esports
449003,2281,2025,1,Lotus,Team Liquid,7,Sentinels,13,Sentinels
449003,2281,2025,2,Abyss,Team Liquid,16,Sentinels,14,Team Liquid
449003,2281,2025,3,Bind,Team Liquid,13,Sentinels,1,Team Liquid
449002,2281,2025,1,Lotus,T1,13,Trace Esports,3,T1
449002,2281,2025,2,Haven,T1,13,Trace Esports,8,T1
448598,2281,2025,1,Split,EDward Gaming,18,Team Liquid,16,EDward Gaming
448598,2281,2025,2,Pearl,EDward Gaming,13,Team Liquid,6,EDward Gaming
450589,2281,2025,1,Ascent,Team International,9,Team Thailand,13,Team Thailand
449012,2281,2025,1,Lotus,T1,12,Team Vitality,14,Team Vitality
449012,2281,2025,2,Haven,T1,13,Team Vitality,4,T1
449012,2281,2025,3,Split,T1,13,Team Vitality,5,T1
449010,2281,2025,1,Lotus,EDward Gaming,8,G2 Esports,13,G2 Esports
449010,2281,2025,2,Split,EDward Gaming,7,G2 Esports,13,G2 Esports
449001,2281,2025,1,Pearl,EDward Gaming,16,G2 Esports,18,G2 Esports
449001,2281,2025,2,Bind,EDward Gaming,13,G2 Esports,8,EDward Gaming
449001,2281,2025,3,Fracture,EDward Gaming,13,G2 Esports,4,EDward Gaming
498632,2282,2025,1,Sunset,Sentinels,13,FNATIC,9,Sentinels
498632,2282,2025,2,Ascent,Sentinels,7,FNATIC,13,FNATIC
498632,2282,2025,3,Icebox,Sentinels,9,FNATIC,13,FNATIC
490314,2282,2025,1,Split,Paper Rex,13,Team Liquid,15,Team Liquid
490314,2282,2025,2,Sunset,Paper Rex,13,Team Liquid,5,Paper Rex
490314,2282,2025,3,Lotus,Paper Rex,14,Team Liquid,12,Paper Rex
490308,2282,2025,1,Split,Sentinels,13,Wolves Esports,11,Sentinels
490308,2282,2025,2,Lotus,Sentinels,13,Wolves Esports,8,Sentinels
498633,2282,2025,1,Lotus,G2 Esports,10,FNATIC,13,FNATIC
498633,2282,2025,2,Split,G2 Esports,10,FNATIC,13,FNATIC
