match_id,event_id,map,round_number,round_score,winner,side,win_type
348466,1999,Breeze,6,3-3,team1,attack,Spike exploded
348466,1999,Breeze,7,4-3,team1,attack,Elimination
348466,1999,Breeze,8,5-3,team1,attack,Elimination
348466,1999,Breeze,9,5-4,team2,defense,Elimination
348466,1999,Breeze,10,6-4,team1,attack,Elimination
348466,1999,Breeze,11,7-4,team1,attack,Elimination
348466,1999,Breeze,12,7-5,team2,defense,Elimination
348466,1999,Breeze,13,8-5,team1,defense,Elimination
348466,1999,Breeze,14,9-5,team1,defense,Defused
348466,1999,Breeze,15,9-6,team2,attack,Spike exploded
348466,1999,Breeze,16,10-6,team1,defense,Defused
348466,1999,Breeze,17,10-7,team2,attack,Spike exploded
348466,1999,Breeze,18,10-8,team2,attack,Elimination
348466,1999,Breeze,19,10-9,team2,attack,Spike exploded
348466,1999,Breeze,20,10-10,team2,attack,Elimination
348466,1999,Breeze,21,10-11,team2,attack,Elimination
348466,1999,Breeze,22,11-11,team1,defense,Elimination
348466,1999,Breeze,23,11-12,team2,attack,Elimination
348466,1999,Breeze,24,11-13,team2,attack,Elimination
348059,1999,Icebox,1,1-0,team1,defense,Elimination
348059,1999,Icebox,2,2-0,team1,defense,Elimination
348059,1999,Icebox,3,3-0,team1,defense,Elimination
348059,1999,Icebox,4,3-1,team2,attack,Elimination
348059,1999,Icebox,5,3-2,team2,attack,Elimination
348059,1999,Icebox,6,4-2,team1,defense,Elimination
348059,1999,Icebox,7,5-2,team1,defense,Elimination
348059,1999,Icebox,8,6-2,team1,defense,Defused
348059,1999,Icebox,9,7-2,team1,defense,Defused
348059,1999,Icebox,10,8-2,team1,defense,Elimination
348059,1999,Icebox,11,8-3,team2,attack,Elimination
348059,1999,Icebox,12,8-4,team2,attack,Elimination
348059,1999,Icebox,13,9-4,team1,attack,Elimination
348059,1999,Icebox,14,10-4,team1,attack,Spike exploded
348059,1999,Icebox,15,10-5,team2,defense,Defused
348059,1999,Icebox,16,11-5,team1,attack,Elimination
348059,1999,Icebox,17,12-5,team1,attack,Elimination
348059,1999,Icebox,18,13-5,team1,attack,Elimination
348059,1999,Sunset,1,1-0,team1,attack,Elimination
348059,1999,Sunset,2,2-0,team1,attack,Elimination
348059,1999,Sunset,3,3-0,team1,attack,Spike exploded
348059,1999,Sunset,4,3-1,team2,defense,Defused
348059,1999,Sunset,5,3-2,team2,defense,Elimination
348059,1999,Sunset,6,4-2,team1,attack,Elimination
348059,1999,Sunset,7,5-2,team1,attack,Elimination
348059,1999,Sunset,8,5-3,team2,defense,Elimination
348059,1999,Sunset,9,5-4,team2,defense,Elimination
348059,1999,Sunset,10,5-5,team2,defense,Elimination
348059,1999,Sunset,11,6-5,team1,attack,Elimination
348059,1999,Sunset,12,7-5,team1,attack,Elimination
348059,1999,Sunset,13,8-5,team1,defense,Elimination
348059,1999,Sunset,14,9-5,team1,defense,Elimination
348059,1999,Sunset,15,10-5,team1,defense,Elimination
348059,1999,Sunset,16,11-5,team1,defense,Elimination
348059,1999,Sunset,17,12-5,team1,defense,Time out
348059,1999,Sunset,18,13-5,team1,defense,Elimination
348457,1999,Lotus,1,1-0,team1,attack,Elimination
348457,1999,Lotus,2,2-0,team1,attack,Elimination
348457,1999,Lotus,3,2-1,team2,defense,Elimination
348457,1999,Lotus,4,2-2,team2,defense,Defused
348457,1999,Lotus,5,3-2,team1,attack,Elimination
348457,1999,Lotus,6,3-3,team2,defense,Elimination
348457,1999,Lotus,7,3-4,team2,defense,Elimination
348457,1999,Lotus,8,4-4,team1,attack,Elimination
348457,1999,Lotus,9,4-5,team2,defense,Elimination
348457,1999,Lotus,10,4-6,team2,defense,Elimination
348457,1999,Lotus,11,4-7,team2,defense,Elimination
348457,1999,Lotus,12,4-8,team2,defense,Elimination
348457,1999,Lotus,13,4-9,team2,attack,Elimination
348457,1999,Lotus,14,4-10,team2,attack,Elimination
348457,1999,Lotus,15,5-10,team1,defense,Elimination
348457,1999,Lotus,16,6-10,team1,defense,Elimination
348457,1999,Lotus,17,7-10,team1,defense,Defused
348457,1999,Lotus,18,7-11,team2,attack,Spike exploded
348457,1999,Lotus,19,8-11,team1,defense,Defused
348457,1999,Lotus,20,8-12,team2,attack,Spike exploded
348457,1999,Lotus,21,9-12,team1,defense,Elimination
348457,1999,Lotus,22,9-13,team2,attack,Elimination
348457,1999,Bind,1,0-1,team2,defense,Elimination
348457,1999,Bind,2,0-2,team2,defense,Defused
348457,1999,Bind,3,1-2,team1,attack,Spike exploded
348457,1999,Bind,4,1-3,team2,defense,Time out
348457,1999,Bind,5,2-3,team1,attack,Spike exploded
348457,1999,Bind,6,3-3,team1,attack,Spike exploded
348457,1999,Bind,7,4-3,team1,attack,Elimination
348457,1999,Bind,8,5-3,team1,attack,Elimination
348457,1999,Bind,9,6-3,team1,attack,Spike exploded
348457,1999,Bind,10,7-3,team1,attack,Elimination
348457,1999,Bind,11,8-3,team1,attack,Elimination
348457,1999,Bind,12,9-3,team1,attack,Elimination
348457,1999,Bind,13,10-3,team1,defense,Defused
348457,1999,Bind,14,11-3,team1,defense,Elimination
348457,1999,Bind,15,11-4,team2,attack,Elimination
348457,1999,Bind,16,11-5,team2,attack,Elimination
348457,1999,Bind,17,11-6,team2,attack,Elimination
348457,1999,Bind,18,12-6,team1,defense,Defused
348457,1999,Bind,19,13-6,team1,defense,Defused
348457,1999,Split,1,1-0,team1,attack,Elimination
348457,1999,Split,2,2-0,team1,attack,Elimination
348457,1999,Split,3,3-0,team1,attack,Elimination
