match_id,event_id,event_title,year,date,time,stage,round,team1,team1_id,team1_score,team2,team2_id,team2_score,winner,map_count
248277,1657,Valorant Champions 2023,2023,2023-08-26,21:30:00,Playoffs,Grand Final,Paper Rex,624,1,Evil Geniuses,5248,3,Evil Geniuses,4
247089,1657,Valorant Champions 2023,2023,2023-08-10,23:25:00,Group Stage,Elimination (B),FunPlus Phoenix,11328,0,T1,14,2,T1,2
247093,1657,Valorant Champions 2023,2023,2023-08-08,23:35:00,Group Stage,Opening (C),FNATIC,2593,2,ZETA DIVISION,5448,0,FNATIC,2
248276,1657,Valorant Champions 2023,2023,2023-08-24,21:00:00,Playoffs,Upper Final,Paper Rex,624,2,Evil Geniuses,5248,1,Paper Rex,3
248272,1657,Valorant Champions 2023,2023,2023-08-17,21:00:00,Playoffs,Upper Quarterfinals,KIWOOM DRX,8185,2,Bilibili Gaming,12010,0,KIWOOM DRX,2
247094,1657,Valorant Champions 2023,2023,2023-08-08,21:00:00,Group Stage,Opening (C),NRG,1034,0,Bilibili Gaming,12010,2,Bilibili Gaming,2
247076,1657,Valorant Champions 2023,2023,2023-08-09,23:15:00,Group Stage,Opening (A),EDward Gaming,1120,2,Giants Gaming,2304,1,EDward Gaming,3
247104,1657,Valorant Champions 2023,2023,2023-08-12,21:00:00,Group Stage,Decider (D),Natus Vincere,4915,1,LOUD,6961,2,LOUD,3
248283,1657,Valorant Champions 2023,2023,2023-08-25,21:00:00,Playoffs,Lower Final,Evil Geniuses,5248,3,LOUD,6961,2,Evil Geniuses,5
247077,1657,Valorant Champions 2023,2023,2023-08-11,01:45:00,Group Stage,Winner's (A),Paper Rex,624,2,EDward Gaming,1120,0,Paper Rex,2
247100,1657,Valorant Champions 2023,2023,2023-08-06,21:00:00,Group Stage,Opening (D),Team Liquid,474,0,Natus Vincere,4915,2,Natus Vincere,2
247095,1657,Valorant Champions 2023,2023,2023-08-10,03:00:00,Group Stage,Winner's (C),FNATIC,2593,2,Bilibili Gaming,12010,0,FNATIC,2
312777,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-21,17:00:00,Playoffs,Upper Semifinals,Gen.G,17,2,Paper Rex,624,0,Gen.G,2
312776,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-21,19:10:00,Playoffs,Upper Semifinals,Sentinels,2,2,LOUD,6961,1,Sentinels,3
312799,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-17,19:20:00,Swiss Stage,Round 2,Team Heretics,1001,1,Paper Rex,624,2,Paper Rex,3
312768,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-15,20:15:00,Swiss Stage,Round 1,Sentinels,2,2,Team Heretics,1001,1,Sentinels,3
312798,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-16,17:00:00,Swiss Stage,Round 2,Sentinels,2,2,Karmine Corp,8877,0,Sentinels,2
312800,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-17,17:00:00,Swiss Stage,Round 2,FunPlus Phoenix,11328,0,LOUD,6961,2,LOUD,2
312767,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-15,17:00:00,Swiss Stage,Round 1,EDward Gaming,1120,2,Paper Rex,624,1,EDward Gaming,3
312765,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-14,17:00:00,Swiss Stage,Round 1,Karmine Corp,8877,2,FunPlus Phoenix,11328,0,Karmine Corp,2
312781,1921,Champions Tour 2024: Masters Madrid,2024,2024-03-23,17:00:00,Playoffs,Lower Final,Sentinels,2,3,Paper Rex,624,1,Sentinels,4
